clip,traffic_class,hour,weather,day,vehicles_observed,tracks_seen,heavy_vehicle_percent,speed_mean_kmh,speed_median_kmh,speed_p85_kmh,speed_std_kmh,speed_n_reliable,density_veh_mi_ln,density_pc_mi_ln,level_of_service,vehicles_per_frame,lane_imbalance,busiest_lane,lane_changes,changes_per_vehicle,n_trajectories,n_merges,count_bicycle,count_car,count_motorcycle,count_bus,count_truck,occupancy_lane1,occupancy_lane2,occupancy_lane3,occupancy_lane4,occupancy_lane5
cctv052x2004080516x01638,medium,16,overcast,1,25,33,8.0,43.02,45.59,51.92,10.33,20,43.36,48.02,F,13.25,0.0,1,0,0.0,25,0,0,23,0,0,2,1.0,1.0,1.0,1.0,1.0
cctv052x2004080516x01639,medium,16,overcast,1,22,28,4.55,30.65,35.46,43.62,13.56,21,42.04,43.55,E,12.85,0.0,1,0,0.0,22,0,0,21,0,0,1,1.0,1.0,1.0,1.0,1.0
cctv052x2004080516x01640,light,16,overcast,1,20,21,0.0,45.26,43.71,50.05,5.01,13,33.63,34.12,D,10.28,0.106,2,0,0.0,20,0,0,20,0,0,0,0.894,1.0,1.0,0.979,0.979
cctv052x2004080516x01641,medium,16,overcast,1,24,25,4.17,32.41,35.51,42.24,11.53,22,47.35,49.6,F,14.47,0.0,1,0,0.0,24,0,0,23,0,1,0,1.0,1.0,1.0,1.0,1.0
cctv052x2004080516x01642,medium,16,overcast,1,18,20,5.56,43.51,43.05,45.6,9.31,16,33.25,35.54,E,10.16,0.16,2,0,0.0,18,0,0,17,0,0,1,0.84,1.0,1.0,0.88,0.86
cctv052x2004080516x01643,medium,16,overcast,1,24,27,16.67,33.02,32.87,42.65,8.94,17,33.79,41.41,E,10.33,0.212,1,0,0.0,24,0,0,20,0,2,2,1.0,1.0,0.981,1.0,0.788
cctv052x2004080516x01644,medium,16,clear,1,14,20,21.43,42.74,41.27,46.64,9.72,8,15.73,20.83,C,4.81,0.462,3,0,0.0,14,0,0,11,0,1,2,0.75,0.673,0.923,0.462,0.731
cctv052x2004080516x01645,medium,16,overcast,1,16,23,6.25,45.0,45.14,48.01,5.3,14,20.08,21.17,C,6.14,0.922,1,0,0.0,16,0,0,15,0,1,0,1.0,0.765,0.922,0.647,0.078
cctv052x2004080516x01646,heavy,16,overcast,1,16,17,0.0,10.17,10.75,12.73,3.78,11,32.04,32.04,D,9.79,0.021,1,0,0.0,16,0,0,16,0,0,0,1.0,1.0,1.0,1.0,0.979
cctv052x2004080516x01647,medium,16,overcast,1,21,23,4.76,38.07,38.35,41.77,4.66,18,44.4,46.39,F,13.57,0.02,1,0,0.0,21,0,0,20,0,1,0,1.0,0.98,1.0,1.0,1.0
cctv052x2004080516x01648,medium,16,overcast,1,21,24,4.76,43.17,42.98,49.15,5.13,18,34.17,36.5,E,10.44,0.365,3,1,0.048,21,0,0,20,0,1,0,0.635,0.808,1.0,1.0,1.0
cctv052x2004080516x01649,heavy,16,overcast,1,17,18,5.88,17.93,15.39,27.76,9.07,14,31.78,32.47,D,9.71,0.365,1,0,0.0,17,0,0,16,0,1,0,1.0,1.0,0.692,0.904,0.635
cctv052x2004080516x01650,medium,16,overcast,1,25,27,4.0,38.81,37.73,44.14,4.86,23,44.74,45.88,F,13.67,0.385,1,0,0.0,25,0,0,24,0,1,0,1.0,1.0,1.0,0.615,1.0
cctv052x2004080517x01652,heavy,17,overcast,1,22,25,0.0,35.5,35.94,45.21,9.85,17,34.86,35.37,E,10.65,0.0,1,0,0.0,22,0,0,22,0,0,0,1.0,1.0,1.0,1.0,1.0
cctv052x2004080517x01653,heavy,17,overcast,1,17,21,5.88,19.4,20.58,21.4,4.55,12,30.77,34.05,D,9.4,1.0,1,0,0.0,17,0,0,16,0,0,1,1.0,1.0,1.0,1.0,0.0
cctv052x2004080517x01654,heavy,17,clear,1,16,18,0.0,10.72,9.32,18.39,5.94,14,33.23,33.54,D,10.15,0.0,1,0,0.0,16,0,0,16,0,0,0,1.0,1.0,1.0,1.0,1.0
cctv052x2004080517x01655,heavy,17,overcast,1,18,18,5.56,28.44,30.52,38.85,9.82,16,41.66,43.99,E,12.73,0.0,1,0,0.0,18,0,0,17,0,1,0,1.0,1.0,1.0,1.0,1.0
cctv052x2004080517x01656,heavy,17,overcast,1,14,14,7.14,9.28,10.03,15.64,6.35,14,33.35,34.17,D,10.19,0.115,2,0,0.0,14,0,0,13,0,0,1,0.885,1.0,1.0,1.0,0.962
cctv052x2004080517x01657,heavy,17,overcast,1,17,21,17.65,24.99,26.63,29.98,5.05,15,34.8,40.02,E,10.63,0.0,1,1,0.059,17,0,0,14,0,1,2,1.0,1.0,1.0,1.0,1.0
cctv052x2004080517x01658,heavy,17,overcast,1,19,20,15.79,8.59,7.89,12.47,3.33,16,45.25,54.37,F,13.83,0.0,1,0,0.0,19,0,0,16,0,3,0,1.0,1.0,1.0,1.0,1.0
cctv052x2004080517x01659,heavy,17,overcast,1,16,18,0.0,7.61,8.25,10.19,3.3,13,38.89,39.39,E,11.88,0.0,1,0,0.0,16,0,0,16,0,0,0,1.0,1.0,1.0,1.0,1.0
cctv052x2004080517x01660,heavy,17,overcast,1,18,20,27.78,18.82,19.75,22.49,4.57,15,37.13,44.49,E,11.35,0.0,1,0,0.0,18,0,0,13,0,5,0,1.0,1.0,1.0,1.0,1.0
cctv052x2004080517x01661,heavy,17,clear,1,17,21,29.41,12.73,12.27,17.91,4.97,12,36.12,45.18,F,11.04,0.269,2,0,0.0,17,0,0,12,0,4,1,0.731,1.0,1.0,1.0,1.0
cctv052x2004080517x01662,heavy,17,clear,1,18,20,5.56,15.6,17.34,20.42,5.75,17,39.08,40.09,E,11.94,0.0,1,0,0.0,18,0,0,17,0,0,1,1.0,1.0,1.0,1.0,1.0
cctv052x2004080517x01663,heavy,17,overcast,1,26,27,7.69,28.9,26.38,38.43,8.55,22,46.69,50.72,F,14.27,0.019,2,0,0.0,26,0,0,24,0,1,1,0.981,1.0,1.0,1.0,1.0
cctv052x2004080517x01664,medium,17,overcast,1,21,24,23.81,36.78,38.43,41.98,5.64,18,37.34,44.66,E,11.41,0.216,1,0,0.0,21,0,0,16,0,3,2,1.0,1.0,1.0,0.784,1.0
cctv052x2004080517x01665,medium,17,overcast,1,20,24,5.0,36.8,41.04,51.92,14.78,20,37.82,40.21,E,11.56,0.058,3,0,0.0,20,0,0,19,0,0,1,0.981,0.942,1.0,1.0,1.0
cctv052x2004080518x01666,medium,18,overcast,1,25,26,12.0,47.24,48.02,53.38,6.65,19,39.33,43.78,E,12.02,0.0,1,0,0.0,25,0,0,22,0,1,2,1.0,1.0,1.0,1.0,1.0
cctv052x2004080518x01667,medium,18,overcast,1,22,27,9.09,47.05,49.15,54.22,7.91,20,38.94,43.13,E,11.9,0.0,1,0,0.0,22,1,0,20,0,1,1,1.0,1.0,1.0,1.0,1.0
cctv052x2004080518x01668,heavy,18,overcast,1,18,19,0.0,21.32,21.82,24.39,3.94,15,40.97,41.35,E,12.52,0.0,1,0,0.0,18,0,0,18,0,0,0,1.0,1.0,1.0,1.0,1.0
cctv052x2004080518x01669,medium,18,overcast,1,24,25,12.5,50.64,51.81,67.56,15.94,21,37.51,41.22,E,11.46,0.0,1,0,0.0,24,0,0,21,0,0,3,1.0,1.0,1.0,1.0,1.0
cctv052x2004080518x01670,medium,18,overcast,1,18,23,0.0,40.66,38.41,50.42,7.83,15,31.38,32.72,D,9.59,1.0,2,0,0.0,18,0,0,18,0,0,0,0.824,1.0,1.0,0.0,1.0
cctv052x2004080518x01671,medium,18,clear,1,20,23,5.0,36.29,37.66,43.07,8.36,19,40.4,43.3,E,12.35,0.0,1,1,0.05,20,0,0,19,0,0,1,1.0,1.0,1.0,1.0,1.0
cctv052x2004080518x01672,medium,18,overcast,1,20,22,0.0,46.31,47.83,51.48,5.71,17,32.72,34.61,D,10.0,0.442,1,0,0.0,20,0,0,20,0,0,0,1.0,1.0,1.0,0.558,0.904
cctv052x2004080518x01673,light,18,overcast,1,8,12,12.5,70.66,65.17,86.72,19.19,6,13.47,16.11,B,4.12,1.0,3,0,0.0,8,0,0,7,0,1,0,0.0,0.255,1.0,1.0,0.627
cctv052x2004080518x01674,medium,18,overcast,1,18,20,5.56,43.71,43.28,48.56,4.45,17,34.55,37.51,E,10.56,0.981,2,1,0.056,18,1,0,17,0,1,0,0.019,1.0,1.0,1.0,1.0
